OK,40,fmt/111,"OLE2 Compound Document Format","OLE2 Compound Document Format",294400,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/75_msg_vzorek.msg","None","signature"
OK,20,fmt/44,"JPEG File Interchange Format","JFIF 1.02",105542,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/62_jpg_vzorek.jpg","image/jpeg","signature"
OK,19,fmt/19,"Acrobat PDF 1.5 - Portable Document Format","PDF 1.5",3172470,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/11_pdf_vzorek.pdf","application/pdf","signature"
OK,40,x-fmt/430,"Microsoft Outlook Email Message","Outlook Message Format",284160,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/80_msg_prejmenovany_eml.eml","None","signature"
OK,20,fmt/189,"Microsoft Office Open XML","Microsoft Office Open XML",82432,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/57_pptx_prejmenovany_ppt.ppt","None","signature"
OK,189,fmt/40,"Microsoft Word Document","Microsoft Word for Windows 97 - 2002",8651264,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/23_doc_vzorek.doc","application/msword","container"
OK,20,fmt/353,"Tagged Image File Format","TIFF generic (big-endian)",8336108,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/63_tiff_vzorek.tiff","image/tiff","signature"
OK,0,fmt/295,"OpenDocument Spreadsheet","ODF 1.2 spreadsheet",9671,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/37_ods_vzorek.ods","application/vnd.oasis.opendocument.spreadsheet","signature"
OK,30,fmt/61,"Microsoft Excel 97 Workbook (xls)","BIFF 8 & 8X Workbook (generic)",139264,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/41_xls_prejmenovany_ods.ods","application/vnd.ms-excel","container"
OK,10,fmt/11,"Portable Network Graphics","PNG 1.0",3717,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/68_png_vzorek.png","image/png","signature"
OK,50,fmt/61,"Microsoft Excel 97 Workbook (xls)","BIFF 8 & 8X Workbook (generic)",444928,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/43_xls_prejmenovany_doc.doc","application/vnd.ms-excel","container"
OK,10,fmt/295,"OpenDocument Spreadsheet","ODF 1.2 spreadsheet",25640,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/33_ods_vzorek.ods","application/vnd.oasis.opendocument.spreadsheet","signature"
OK,20,fmt/354,"Acrobat PDF/A - Portable Document Format","Acrobat PDF/A 1b",152043,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/26_pdf_prejmenovany_docx.docx","application/pdf","signature"
OK,60,x-fmt/263,"ZIP Format","ZIP format",1008705,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/7_docx_vzorek.docx","application/zip","signature"
OK,10,fmt/291,"OpenDocument Text","ODF 1.2 text",20045,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/15_odt_vzorek.odt","application/vnd.oasis.opendocument.text","signature"
OK,10,fmt/293,"OpenDocument Presentation","ODF 1.2 presentation",33364,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/55_odp_prejmenovany_ppt.ppt","application/vnd.oasis.opendocument.presentation","signature"
OK,49,x-fmt/430,"Microsoft Outlook Email Message","Outlook Message Format",919552,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/77_msg_vzorek.msg","None","container"
OK,49,fmt/61,"Microsoft Excel 97 Workbook (xls)","BIFF 8 & 8X Workbook (generic)",919552,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/77_msg_vzorek.msg","application/vnd.ms-excel","container"
OK,20,fmt/354,"Acrobat PDF/A - Portable Document Format","Acrobat PDF/A 1b",152043,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/22_pdf_vzorek.pdf","application/pdf","signature"
OK,70,fmt/292,"OpenDocument Presentation","ODF 1.1 presentation (without version number)",2377623,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/48_odp_vzorek.odp","application/vnd.oasis.opendocument.presentation","signature"
OK,30,fmt/61,"Microsoft Excel 97 Workbook (xls)","BIFF 8 & 8X Workbook (generic)",139264,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/34_xls_vzorek.xls","application/vnd.ms-excel","container"
OK,50,fmt/61,"Microsoft Excel 97 Workbook (xls)","BIFF 8 & 8X Workbook (generic)",1640960,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/47_ppt_vzorek.ppt","application/vnd.ms-excel","container"
OK,89,x-fmt/263,"ZIP Format","ZIP format",3567217,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/51_pptx_vzorek.pptx","application/zip","signature"
OK,50,x-fmt/263,"ZIP Format","ZIP format",1008705,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/28_docx_prejmenovany_doc.doc","application/zip","signature"
OK,660,fmt/293,"OpenDocument Presentation","ODF 1.2 presentation",39378382,"/home/sleroux/Development/RODA-GORDIC/02-support/02-legacy_data/test_corpora/Test Files/54_odp_vzorek.odp","application/vnd.oasis.opendocument.presentation","signature"
